1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,347,232,188,188,187,138,108,95,106,101,102,101,90,88,79,66,65,60,58,56,53,58,56,56,56,56,56,56,57,56,55,53,50,46,48,43,41,45,40,39,38,35,32,33,32,31,32,31
0.01,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
