1000,1000,1000,1000,982,735,831,771,535,339,375,159,184,92,111,104,68,54,49,55,57,61,55,45,41,38,32,32,32,32,32,38,40,31,31,31,31,30,29,29,28,26,26,26,24,23,23,22,20,19,18,18,18,17,17,17,17,17,17,17
0.01,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
